Number_Plate,Vehicle_Type,Model,Part_Name,Category,Supplier,Purchase_Cost,Service_Date,Issue_Reported,Service_Type,Fuel_Consumed_Litres,Distance_Covered_KM,Insurance_Cost,Cost_of_Ownership,REG. NO.,Type_of_Service
KTCA 869H,Tractor,TS 6000,Alternator,Electrical,JKT,10743.0,08/02/2025,Electrical failure,Emergency,128.68,473.41,18649.72,47172.93,,Minor Service
KTCA 276F,Tractor,TT 490,Oil Filter,Engine,AutoGen_3,12084.84,04/10/2024,Reduced engine performance,Preventive,158.94,653.48,23546.53,49502.39,,Major Service
KTCA 581F,Tractor,TT 490,Alternator,Electrical,AutoGen_8,10736.14,04/11/2024,No power output,Breakdown,457.85,1938.07,15012.45,31148.18,,Minor Service
KTCA 611E,Tractor,TS 6000,Alternator,Electrical,AutoGen_10,1725.43,07/22/2024,No power output,Breakdown,167.2,785.78,21175.01,31810.11,,Minor Service
KTCC 778C,Tractor,TS 6110,Hydraulic Pump,Hydraulics,JKT,2903.6,09/07/2024,Hydraulic issue,Preventive,163.04,494.82,28576.05,39917.22,,Minor Service
KTCA 173F,Tractor,TT 490,Battery,Electrical,AutoGen_5,6073.01,04/30/2025,Low voltage,Corrective,390.18,1753.44,9873.21,30829.73,,Minor Service
KTCB 504E,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_2,7612.24,01/16/2025,Engine noise,Preventive,585.76,1974.72,12832.69,38642.73,,Major Service
KTCC 658B,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_4,3704.04,04/22/2025,Overheating,Corrective,352.32,1648.31,22473.52,40631.14,,Minor Service
KTCA 534A,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_4,11565.62,08/29/2024,Hydraulic issue,Breakdown,135.01,446.51,21373.49,51377.48,,Minor Service
KTCC 633A,Tractor,TS 6110,Tyre,Wheels,JKT,8164.39,09/05/2025,New tyre,Corrective,362.09,1170.48,9342.68,29671.99,,Minor Service
KTCA 617A,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_6,14093.78,06/27/2024,Engine noise,Breakdown,95.64,458.53,9268.58,37455.57,,Major Service
KTCB 468H,Tractor,TT 490,Alternator,Electrical,AutoGen_1,13555.66,06/24/2024,Electrical failure,Corrective,139.92,572.26,17892.07,36702.45,,Minor Service
KTCC 673B,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_1,9546.72,02/02/2025,Overheating,Emergency,268.72,1078.95,13253.39,34041.99,,Minor Service
KTCB 586H,Tractor,TT 490,Oil Filter,Engine,AutoGen_3,4341.27,05/10/2024,Oil leakage,Corrective,446.04,1543.98,5999.61,21372.5,,Minor Service
KTCB 420A,Tractor,TT 490,Oil Filter,Engine,AutoGen_3,7174.42,05/13/2025,Reduced engine performance,Emergency,166.96,771.7,10350.15,25654.49,,Major Service
KTCC 332H,Tractor,TS 6110,Tyre,Wheels,JKT,5528.26,05/22/2025,Tyre burst,Preventive,154.41,568.38,13557.65,28167.56,,Minor Service
KTCC 157B,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_8,3459.43,01/21/2025,Clogged filter,Breakdown,50.06,167.26,7657.61,22772.7,,Minor Service
KTCC 144C,Tractor,TS 6110,Radiator,Cooling System,AutoGen_8,1950.55,08/22/2024,Overheating,Corrective,108.25,382.69,25241.26,37080.66,,Minor Service
KTCB 807E,Tractor,TS 6110,Alternator,Electrical,AutoGen_7,5250.58,07/10/2024,Electrical failure,Breakdown,221.16,952.64,12835.0,33058.58,,Minor Service
KTCA 872A,Tractor,TT 490,Tyre,Wheels,JKT,4842.44,08/31/2024,Puncture,Preventive,249.95,1188.26,29818.86,40513.06,,Minor Service
KTCB 371B,Tractor,TS 6110,Alternator,Electrical,AutoGen_7,10459.21,02/02/2025,No power output,Breakdown,104.95,357.5,12398.41,32604.63,,Minor Service
KTCB 754A,Tractor,TS 6000,Battery,Electrical,JKT,9078.0,07/12/2024,Battery issue,Corrective,369.61,1809.35,6378.38,33144.75,,Minor Service
KTCB 796A,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_2,9832.49,06/09/2024,Low pressure,Emergency,97.21,305.91,17538.15,38226.34,,Minor Service
KTCA 909C,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_3,10990.53,03/23/2025,Hydraulic issue,Preventive,228.71,996.95,18480.99,41017.75,,Minor Service
KTCA 481H,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_1,1936.06,04/17/2025,Overheating,Preventive,121.35,596.56,9626.21,16799.46,,Minor Service
