Number_Plate,Vehicle_Type,Model,Part_Name,Category,Supplier,Purchase_Cost,Service_Date,Issue_Reported,Service_Type,Fuel_Consumed_Litres,Distance_Covered_KM,Insurance_Cost,Cost_of_Ownership
KTCA 869H,Tractor,TS 6000,Alternator,Electrical,JKT,10743,08-02-25,Electrical failure,Emergency,82.95,473.41,18649.72,47172.93
KTCA 276F,Tractor,TT 490,Oil Filter,Engine,AutoGen_3,12084.84,04-10-24,Reduced engine performance,Preventive,92.75,653.48,23546.53,49502.39
KTCA 581F,Tractor,TT 490,Alternator,Electrical,AutoGen_8,10736.14,04-11-24,No power output,Breakdown,104.33,1938.07,15012.45,31148.18
KTCA 611E,Tractor,TS 6000,Alternator,Electrical,AutoGen_10,1725.43,22-07-24,No power output,Breakdown,19.68,785.78,21175.01,31810.11
KTCC 778C,Tractor,TS 6110,Hydraulic Pump,Hydraulics,JKT,2903.6,09-07-24,Hydraulic issue,Preventive,115.75,494.82,28576.05,39917.22
KTCC 120E,Tractor,"WINCH (VALTRA, SAME)",Brake Pads,Braking System,AutoGen_5,14494.2,20-03-25,Overheating,Emergency,113.75,153.9,10442.73,44141.11
KTCA 173F,Tractor,TT 490,Battery,Electrical,AutoGen_5,6073.01,30-04-25,Low voltage,Corrective,184.78,1753.44,9873.21,30829.73
KTCB 504E,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_2,7612.24,16-01-25,Engine noise,Preventive,180.77,1974.72,12832.69,38642.73
KTCC 658B,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_4,3704.04,22-04-25,Overheating,Corrective,99.73,1648.31,22473.52,40631.14
KTCA 534A,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_4,11565.62,29-08-24,Hydraulic issue,Breakdown,154.28,446.51,21373.49,51377.48
KTCC 763A,Tractor,"WINCH (VALTRA, SAME)",Brake Pads,Braking System,AutoGen_5,5076.29,07-12-24,Hydraulic issue,Emergency,75.13,1761.95,18685.16,34927.92
KTCC 633A,Tractor,TS 6110,Tyre,Wheels,JKT,8164.39,09-05-25,New tyre,Corrective,65.56,1170.48,9342.68,29671.99
KTCA 617A,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_6,14093.78,27-06-24,Engine noise,Breakdown,134.94,458.53,9268.58,37455.57
KTCB 468H,Tractor,TT 490,Alternator,Electrical,AutoGen_1,13555.66,24-06-24,Electrical failure,Corrective,107.75,572.26,17892.07,36702.45
KTCC 673B,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_1,9546.72,02-02-25,Overheating,Emergency,112.51,1078.95,13253.39,34041.99
KTCB 938H,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_9,6150.8,03-02-25,Hydraulic issue,Breakdown,21.8,1349.66,17712.92,31780.05
KTCB 586H,Tractor,TT 490,Oil Filter,Engine,AutoGen_3,4341.27,05-10-24,Oil leakage,Corrective,177.95,1543.98,5999.61,21372.5
KTCB 420A,Tractor,TT 490,Oil Filter,Engine,AutoGen_3,7174.42,13-05-25,Reduced engine performance,Emergency,93.97,771.7,10350.15,25654.49
KTCC 332H,Tractor,TS 6110,Tyre,Wheels,JKT,5528.26,22-05-25,Tyre burst,Preventive,75.07,568.38,13557.65,28167.56
KTCC 157B,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_8,3459.43,21-01-25,Clogged filter,Breakdown,158.28,167.26,7657.61,22772.7
KTCC 144C,Tractor,TS 6110,Radiator,Cooling System,AutoGen_8,1950.55,22-08-24,Overheating,Corrective,159.37,382.69,25241.26,37080.66
KTCB 807E,Tractor,TS 6110,Alternator,Electrical,AutoGen_7,5250.58,07-10-24,Electrical failure,Breakdown,95.37,952.64,12835,33058.58
KTCA 872A,Tractor,TT 490,Tyre,Wheels,JKT,4842.44,31-08-24,Puncture,Preventive,61.8,1188.26,29818.86,40513.06
KTCB 371B,Tractor,TS 6110,Alternator,Electrical,AutoGen_7,10459.21,02-02-25,No power output,Breakdown,65.82,357.5,12398.41,32604.63
KTCB 754A,Tractor,TS 6000,Battery,Electrical,JKT,9078,07-12-24,Battery issue,Corrective,96.93,1809.35,6378.38,33144.75
KTCB 796A,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_2,9832.49,06-09-24,Low pressure,Emergency,59,305.91,17538.15,38226.34
KTCA 909C,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_3,10990.53,23-03-25,Hydraulic issue,Preventive,92.9,996.95,18480.99,41017.75
KTCA 481H,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_1,1936.06,17-04-25,Overheating,Preventive,173.36,596.56,9626.21,16799.46
KTCC 632G,Tractor,TS 6000,Fuel Pump,Fuel System,JKT,7156.1,02-02-25,Engine noise,Emergency,72.4,1461.8,23733.21,39162.29
KTCA 986H,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_9,8832.46,26-09-24,Low power,Breakdown,173.78,1439.88,17852.87,35410.19
KTCC 792G,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_8,8557.42,04-04-25,Hydraulic issue,Breakdown,50.34,543.75,6087.37,25903.19
KTCC 585G,Tractor,"WINCH (VALTRA, SAME)",Tyre,Wheels,JKT,9873.94,11-06-25,New tyre,Preventive,199.97,943.49,5203.1,23697.97
KTCA 467B,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_2,5493.3,26-04-25,Engine noise,Preventive,16.79,1488.99,11717.76,26837.8
KTCC 292A,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_10,3797.2,23-12-24,Hydraulic issue,Corrective,197.36,1108.39,29942.5,38860.31
KTCC 808B,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_6,13540.25,28-02-25,Engine noise,Preventive,160.34,1631.17,21507.11,40861.52
KTCC 349H,Tractor,TT 490,Fuel Pump,Fuel System,JKT,2938.01,11-09-24,Overheating,Preventive,101.75,930.93,21927.14,42557.89
KTCA 245F,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_3,3522.87,24-08-24,Overheating,Preventive,153.46,724.47,23185.5,31800.59
KTCC 773E,Tractor,TT 490,Brake Pads,Braking System,AutoGen_9,11999.55,04-01-25,Low power,Emergency,92.5,917.94,16252.64,45939.95
KTCA 866D,Tractor,TT 490,Tyre,Wheels,JKT,9253.06,17-05-25,Puncture,Emergency,75.53,957.87,26764.64,53985.43
KTCA 249B,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_2,1536.73,10-01-25,Clogged filter,Corrective,40.06,1874.02,15271.29,34303.54
KTCB 494C,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_2,2399.9,11-01-25,Clogged filter,Breakdown,58.75,1216.85,16349.44,37880.14
KTCA 939D,Tractor,TS 6110,Radiator,Cooling System,AutoGen_9,11349.55,30-01-25,Overheating,Emergency,126.07,1439.56,14464.87,34428.14
KTCA 859A,Tractor,"WINCH (VALTRA, SAME)",Oil Filter,Engine,AutoGen_2,2295.77,17-07-24,Oil leakage,Preventive,79.95,1386.26,13499.72,33753.42
KTCA 725G,Tractor,TT 490,Oil Filter,Engine,AutoGen_10,5527.65,16-11-24,Reduced engine performance,Emergency,186.54,1309.66,17894.71,36752.74
KTCB 425H,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_7,10754.95,16-11-24,Hydraulic issue,Emergency,75.21,1933.65,21893.64,38347.17
KTCC 571B,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_7,6935.92,16-12-24,Low pressure,Emergency,82.61,1157.09,22887.2,40776.85
KTCA 821F,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_2,9466.15,28-09-24,Clogged filter,Corrective,44.91,262.82,22496.43,49629.25
KTCC 928G,Tractor,TT 490,Battery,Electrical,AutoGen_7,4882.27,28-05-25,Low voltage,Emergency,111,507.76,19294.36,41770.86
KTCB 123A,Tractor,TS 6000,Tyre,Wheels,JKT,8920.22,24-07-24,Tyre burst,Preventive,118.67,454.24,21889.14,38256.5
KTCA 946D,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,AutoGen_10,1719.39,06-02-25,Hydraulic issue,Corrective,73.55,1684.7,18341.71,29972.19
KTCA 289F,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_8,4344.29,24-01-25,Hydraulic issue,Breakdown,104.02,537.37,23215.85,41519.33
KTCB 550H,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_1,9019.18,06-03-25,Reduced air intake,Emergency,76.87,831.82,20942.49,42596.88
KTCB 918A,Tractor,TS 6110,Radiator,Cooling System,AutoGen_10,1631.51,26-04-25,Overheating,Preventive,94.02,1352.56,21250.67,38667.11
KTCB 601D,Tractor,TT 490,Oil Filter,Engine,JKT,12986.85,12-08-24,Oil leakage,Emergency,96.37,1487.17,10062.86,39866.21
KTCC 882F,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_6,4040.39,25-01-25,Low pressure,Preventive,31.88,170.57,9182.67,22182.15
